2026-01-02 13:17:50.798 | DEBUG    | awslabs.aws_support_mcp_server.server:main:791 | 8390608896:4554 | {'diagnostics': True} - Starting awslabs_support_mcp_server MCP server
2026-01-02 13:17:50.798 | INFO     | awslabs.aws_support_mcp_server.server:main:794 | 8390608896:4554 | {'diagnostics': True} - Starting AWS Support MCP Server with stdio transport
2026-01-06 08:31:02.713 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 8390608896:1124 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: /Users/Shai.Perednik/Documents/code_workspace/near_mobile/cross-chain-simulator/cross-chain-simulator/mpc-repo/logs/mcp_support_server.log
2026-01-06 08:31:02.713 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 8390608896:1124 | {'diagnostics': True} - Debug mode: True
2026-01-06 08:31:02.713 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 8390608896:1124 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-01-06 08:31:02.713 | DEBUG    | awslabs.aws_support_mcp_server.server:main:791 | 8390608896:1124 | {'diagnostics': True} - Starting awslabs_support_mcp_server MCP server
2026-01-06 08:31:02.713 | INFO     | awslabs.aws_support_mcp_server.server:main:794 | 8390608896:1124 | {'diagnostics': True} - Starting AWS Support MCP Server with stdio transport
2026-01-07 16:35:10.705 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 8390608896:41460 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: /Users/Shai.Perednik/Documents/code_workspace/near_mobile/cross-chain-simulator/cross-chain-simulator/mpc-repo/logs/mcp_support_server.log
2026-01-07 16:35:10.705 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 8390608896:41460 | {'diagnostics': True} - Debug mode: True
2026-01-07 16:35:10.706 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 8390608896:41460 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-01-07 16:35:10.706 | DEBUG    | awslabs.aws_support_mcp_server.server:main:791 | 8390608896:41460 | {'diagnostics': True} - Starting awslabs_support_mcp_server MCP server
2026-01-07 16:35:10.706 | INFO     | awslabs.aws_support_mcp_server.server:main:794 | 8390608896:41460 | {'diagnostics': True} - Starting AWS Support MCP Server with stdio transport
